Symbol,Name,Sector,Industry,clusterID
ANGI,Angi Inc. Class A Common Stock,Technology,EDP Services,1
ANSS,ANSYS Inc. Common Stock,Technology,Computer Software: Prepackaged Software,4
APCX,AppTech Payments Corp. Common Stock,Technology,EDP Services,0
APH,Amphenol Corporation Common Stock,Technology,Electrical Products,2
APP,Applovin Corporation Class A Common Stock,Technology,EDP Services,-1
APPF,AppFolio Inc. Class A Common Stock,Technology,EDP Services,2
APPN,Appian Corporation Class A Common Stock,Technology,EDP Services,1
APPS,Digital Turbine Inc. Common Stock,Technology,Computer Software: Prepackaged Software,3
ARLO,Arlo Technologies Inc. Common Stock,Technology,Security Systems Services,2
ARRY,Array Technologies Inc. Common Stock,Technology,Semiconductors,-1
ARW,Arrow Electronics Inc. Common Stock,Technology,Electronic Components,2
ASGN,ASGN Incorporated Common Stock,Technology,EDP Services,0
ASTI,Ascent Solar Technologies Inc. Common Stock,Technology,Semiconductors,-1
ASUR,Asure Software Inc Common Stock,Technology,EDP Services,2
ASYS,Amtech Systems Inc. Common Stock,Technology,Semiconductors,0
ATKR,Atkore Inc. Common Stock,Technology,Electrical Products,2
ATOM,Atomera Incorporated Common Stock,Technology,Semiconductors,3
AUGX,Augmedix Inc. Common Stock,Technology,Computer Software: Prepackaged Software,-1
AUID,authID Inc. Common Stock,Technology,Computer Software: Prepackaged Software,-1
AUR,Aurora Innovation Inc. Class A Common Stock,Technology,EDP Services,-1
AUUD,Auddia Inc. Common Stock,Technology,Computer Software: Prepackaged Software,-1
AVDX,AvidXchange Holdings Inc. Common Stock,Technology,EDP Services,-1
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors,2
AVPT,AvePoint Inc. Class A Common Stock,Technology,EDP Services,-1
AVT,Avnet Inc. Common Stock,Technology,Electronic Components,2
AWRE,Aware Inc. Common Stock,Technology,EDP Services,3
AXTI,AXT Inc Common Stock,Technology,Semiconductors,3
AZPN,Aspen Technology Inc. Common Stock,Technology,EDP Services,2
BAND,Bandwidth Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,1
BASE,Couchbase Inc. Common Stock,Technology,EDP Services,-1
BCO,Brinks Company (The) Common Stock,Technology,Security Systems Services,2
BCOV,Brightcove Inc. Common Stock,Technology,EDP Services,1
BEAT,Heartbeam Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,-1
BEEM,Beam Global Common Stock,Technology,Semiconductors,1
BFRG,Bullfrog AI Holdings Inc. Common Stock,Technology,Retail: Computer Software & Peripheral Equipment,-1
BHE,Benchmark Electronics Inc. Common Stock,Technology,Electrical Products,2
BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,Technology,Computer Software: Prepackaged Software,-1
BKKT,Bakkt Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,-1
BKTI,BK Technologies Corporation Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment,1
BKYI,BIO-key International Inc. Common Stock,Technology,Security Systems Services,1
BL,BlackLine Inc. Common Stock,Technology,Computer Software: Prepackaged Software,1
