Symbol,Word_Embedding_Dim1,Word_Embedding_Dim2,Word_Embedding_Dim3,Word_Embedding_Dim4,Word_Embedding_Dim5,Basic Materials,Consumer Discretionary,Consumer Staples,Energy,Finance,Health Care,Industrials,Miscellaneous,Real Estate,Technology,Telecommunications,Utilities
ALGM,-0.12364595,-0.07037737,0.0433203,0.13254979,-0.12887423,0,0,0,0,0,0,0,0,0,1,0,0
ALGN,-0.056037974,-0.17078349,0.1709313,-0.12573692,0.12794702,0,0,0,0,0,1,0,0,0,0,0,0
ALGS,0.059640624,-0.038254928,-0.000921154,0.11932631,-0.16271272,0,0,0,0,0,1,0,0,0,0,0,0
ALGT,-0.17219743,-0.09458015,-0.02058599,-0.06292474,-0.08397343,0,1,0,0,0,0,0,0,0,0,0,0
ALHC,0.004066515,0.08128457,-0.18559006,0.042534113,-0.001163745,0,0,0,0,0,1,0,0,0,0,0,0
ALIM,0.060839534,0.012571263,0.11636498,0.034443736,-0.105818436,0,0,0,0,0,1,0,0,0,0,0,0
ALK,0.026712442,-0.12634432,-0.17366664,-0.001879764,0.11898367,0,1,0,0,0,0,0,0,0,0,0,0
ALKT,-0.13673286,-0.12452271,-0.027163839,-0.17214069,-0.14266312,0,0,0,0,0,0,0,0,0,1,0,0
ALL,-0.13901341,-0.036657833,-0.13536856,-0.103146054,0.04488933,0,0,0,0,1,0,0,0,0,0,0,0
ALLE,0.01886649,-0.003647924,-0.020560885,0.061885167,0.13127777,0,1,0,0,0,0,0,0,0,0,0,0
ALLK,0.046809148,-0.1388392,-0.17070162,0.06868823,-0.12874635,0,0,0,0,0,1,0,0,0,0,0,0
ALLO,0.1522023,0.1692894,-0.08103478,0.015710378,-0.191058,0,0,0,0,0,1,0,0,0,0,0,0
ALLR,0.091708496,-0.15729325,-0.07613921,-0.012819481,0.016056776,0,0,0,0,0,1,0,0,0,0,0,0
ALLY,-0.13304532,-0.052211594,-0.06608472,-0.09031906,-0.082554914,0,0,0,0,1,0,0,0,0,0,0,0
ALNY,0.029593682,-0.17661831,-0.1375035,0.17281505,-0.01972263,0,0,0,0,0,1,0,0,0,0,0,0
ALOT,0.12569568,-0.037360765,-0.02506287,0.05968361,-0.025841737,0,0,0,0,0,0,0,0,0,1,0,0
ALPP,-0.03213658,0.19979405,-0.13007243,-0.16123453,-0.18837138,0,0,0,0,0,0,1,0,0,0,0,0
ALRM,0.10770311,-0.042856883,-0.038751148,0.0588475,0.040875245,0,0,0,0,0,0,0,0,0,1,0,0
ALRN,0.07808592,0.12660067,0.16403587,0.15289363,-0.12759607,0,0,0,0,0,1,0,0,0,0,0,0
ALRS,-0.14569339,0.11565681,0.06275244,-0.087473944,0.09488268,0,0,0,0,1,0,0,0,0,0,0,0
ALSA,-0.13537972,-0.020379568,0.034454774,-0.11660974,-0.15248916,0,0,0,0,1,0,0,0,0,0,0,0
ALSN,-0.005640197,0.18672793,0.096127965,0.08146322,0.1011677,0,1,0,0,0,0,0,0,0,0,0,0
ALT,0.18136808,-0.15257075,-0.041953873,-0.030225158,0.120031215,0,0,0,0,0,1,0,0,0,0,0,0
ALTI,-0.073311284,0.13986287,-0.12605944,-0.082784936,-0.07573183,0,0,0,0,1,0,0,0,0,0,0,0
ALTO,-0.023602556,0.1798412,-0.12764573,0.06761496,-0.12832482,0,0,0,0,0,0,1,0,0,0,0,0
ALTR,0.17190728,0.020083021,-0.18279871,-0.030016828,0.026059221,0,0,0,0,0,0,0,0,0,1,0,0
ALVR,-0.09396911,-0.06587186,-0.053310346,-0.16680905,0.087007806,0,0,0,0,0,1,0,0,0,0,0,0
ALX,0.009264493,-0.096080706,0.064303756,-0.103404164,-0.06325646,0,0,0,0,0,0,0,0,1,0,0,0
ALXO,-0.14588723,0.068924926,0.16986008,0.10027418,-0.007776046,0,0,0,0,0,1,0,0,0,0,0,0
ALZN,0.15811297,-0.02304418,0.006587339,0.10140021,0.07814839,0,0,0,0,0,1,0,0,0,0,0,0
AM,0.1387335,0.013007713,-0.048462987,-0.18331361,0.12862208,0,0,0,0,0,0,0,0,0,0,0,1
AMAL,-0.17522058,-0.04290984,0.06261897,-0.07466984,0.12841329,0,0,0,0,1,0,0,0,0,0,0,0
AMAT,0.056149982,-0.11554153,0.018455792,0.12478449,-0.15039209,0,0,0,0,0,0,0,0,0,1,0,0
AMBA,-0.04409051,0.004350853,-0.1279697,-0.057975985,0.10881905,0,0,0,0,0,0,0,0,0,1,0,0
AMBC,0.0651686,0.040718794,-0.007987618,0.059056234,0.16207452,0,0,0,0,1,0,0,0,0,0,0,0
AMCX,-0.098400116,0.17875691,-0.02578492,0.060784936,0.07908783,0,1,0,0,0,0,0,0,0,0,0,0
AMD,-0.074048616,-0.03027091,0.16094796,0.09302006,0.11858664,0,0,0,0,0,0,0,0,0,1,0,0
AME,0.15796621,-0.111321166,0.19210012,-0.12264588,-0.033551097,0,1,0,0,0,0,0,0,0,0,0,0
AMED,-0.01889131,0.18538456,-0.1649049,-0.07030537,0.088508055,0,0,0,0,0,1,0,0,0,0,0,0
AMG,-0.098723456,0.019305516,0.05940547,-0.09975646,0.124960184,0,0,0,0,1,0,0,0,0,0,0,0
AMGN,-0.08552203,-0.094485596,0.19826594,-0.13105312,-0.12428518,0,0,0,0,0,1,0,0,0,0,0,0
AMK,-0.06159966,-0.09122078,0.16917737,-0.17391017,-0.11705868,0,0,0,0,1,0,0,0,0,0,0,0
AMKR,-0.057159185,0.073023915,0.14486668,0.057090115,0.005674958,0,0,0,0,0,0,0,0,0,1,0,0
AMLI,-0.004293799,-0.11286509,0.14591506,0.14673682,-0.13003603,0,0,0,0,0,0,1,0,0,0,0,0
AMLX,-0.03450308,0.026356768,-0.011927104,-0.08579473,-0.0838763,0,0,0,0,0,1,0,0,0,0,0,0
AMN,0.04552846,-0.009635043,-0.03078575,0.048368692,0.113760255,0,0,0,0,0,1,0,0,0,0,0,0
AMP,-0.0688632,0.12127783,0.1742427,0.054250456,0.049744893,0,0,0,0,1,0,0,0,0,0,0,0
AMPE,-0.05296371,0.017993163,-0.085570596,-0.09170358,-0.14820258,0,0,0,0,0,1,0,0,0,0,0,0
AMPG,0.015337897,0.022987008,-0.18756633,0.019323397,0.08917358,0,0,0,0,0,0,0,0,0,1,0,0
AMPGW,0.05315306,0.10740678,-0.033083867,0.051100828,-0.15721008,0,0,0,0,0,0,0,0,0,1,0,0
AMPH,-0.088069655,-0.14185448,0.07433216,0.12015972,0.13637777,0,0,0,0,0,1,0,0,0,0,0,0
AMPL,-0.07599864,-0.043896556,0.19640526,-0.028874492,-0.16848953,0,0,0,0,0,0,0,0,0,1,0,0
AMPY,0.02562871,-0.1113863,-0.17536199,0.087971255,-0.027646065,0,0,0,1,0,0,0,0,0,0,0,0
AMR,0.17474847,0.027102446,0.13622186,-0.14497748,0.15151319,0,0,0,1,0,0,0,0,0,0,0,0
AMRC,0.051834155,0.046739865,0.17427345,-0.097743414,0.1192673,0,0,0,0,0,0,1,0,0,0,0,0
AMRK,-0.17983823,-0.13702098,-0.018830538,0.06643982,0.11533556,0,0,0,0,1,0,0,0,0,0,0,0
AMS,-0.07504489,0.002626038,-0.12871727,-0.09075556,-0.19194221,0,0,0,0,0,1,0,0,0,0,0,0
AMSC,-0.1474276,-0.19376774,-0.090731785,-0.117348075,-0.16930392,0,0,0,0,0,0,1,0,0,0,0,0
