,Symbol,Name,Sector,Industry,Type
1182,DUOL,Duolingo Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software,EQUITY
1183,DUOT,Duos Technologies Group Inc. Common Stock,Technology,Computer Software: Prepackaged Software,EQUITY
1184,DVA,DaVita Inc. Common Stock,Health Care,Medical/Nursing Services,EQUITY
1185,DVAX,Dynavax Technologies Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,EQUITY
1186,DVN,Devon Energy Corporation Common Stock,Energy,Oil & Gas Production,EQUITY
1187,DWSN,Dawson Geophysical Company Common Stock,Energy,Oil & Gas Production,EQUITY
1188,DX,Dynex Capital Inc. Common Stock,Real Estate,Real Estate Investment Trusts,EQUITY
1189,DXCM,DexCom Inc. Common Stock,Health Care,Medical Specialities,EQUITY
1190,DXLG,Destination XL Group Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,EQUITY
1191,DXPE,DXP Enterprises Inc. Common Stock,Industrials,Industrial Machinery/Components,EQUITY
1192,DXR,Daxor Corporation Common Stock,Health Care,Medical/Dental Instruments,EQUITY
1193,DXYN,Dixie Group Inc. (The) Common Stock,Consumer Discretionary,Home Furnishings,EQUITY
1194,DY,Dycom Industries Inc. Common Stock,Industrials,Water Sewer Pipeline Comm & Power Line Construction,EQUITY
1195,DYAI,Dyadic International Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),EQUITY
1196,DYN,Dyne Therapeutics Inc. Common Stock,Health Care, Medicinal Chemicals and Botanical Products ,EQUITY
1197,DYNT,Dynatronics Corporation Common Stock,Health Care,Medical/Dental Instruments,EQUITY
1198,DZSI,DZS Inc. Common Stock,Utilities,Telecommunications Equipment,EQUITY
1199,EA,Electronic Arts Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys,EQUITY
1200,EAD,Allspring Income Opportunities Fund Common Shares,Finance,Finance/Investors Services,EQUITY
1201,EAF,GrafTech International Ltd. Common Stock,Consumer Discretionary,Metal Fabrications,EQUITY
1202,EARN,Ellington Residential Mortgage REIT Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts,EQUITY
1203,EAST,Eastside Distilling Inc. Common Stock,Consumer Staples,Beverages (Production/Distribution),EQUITY
1204,EAT,Brinker International Inc. Common Stock,Consumer Discretionary,Restaurants,EQUITY
1205,EB,Eventbrite Inc. Class A Common Stock,Technology,EDP Services,EQUITY
