Date,Price
2022/10/10 00:00,10542.1
2022/10/7 00:00,10652.41
2022/10/6 00:00,11073.31
2022/10/5 00:00,11148.64
2022/10/4 00:00,11176.41
2022/10/3 00:00,10815.43
2022/9/30 00:00,10575.62
2022/9/29 00:00,10737.51
2022/9/28 00:00,11051.64
2022/9/27 00:00,10829.5
2022/9/26 00:00,10802.92
2022/9/23 00:00,10867.93
2022/9/22 00:00,11066.8
2022/9/21 00:00,11220.19
2022/9/20 00:00,11425.05
2022/9/19 00:00,11535.02
2022/9/16 00:00,11448.4
2022/9/15 00:00,11552.36
2022/9/14 00:00,11719.68
2022/9/13 00:00,11633.57
2022/9/12 00:00,12266.41
2022/9/9 00:00,12112.31
2022/9/8 00:00,11862.13
2022/9/7 00:00,11791.9
2022/9/6 00:00,11544.91
2022/9/2 00:00,11630.86
2022/9/1 00:00,11785.13
2022/8/31 00:00,11816.2
2022/8/30 00:00,11883.14
2022/8/29 00:00,12017.67
2022/8/26 00:00,12141.71
2022/8/25 00:00,12639.26
2022/8/24 00:00,12431.53
2022/8/23 00:00,12381.3
2022/8/22 00:00,12381.57
2022/8/19 00:00,12705.21
2022/8/18 00:00,12965.34
2022/8/17 00:00,12938.12
2022/8/16 00:00,13102.55
2022/8/15 00:00,13128.05
2022/8/12 00:00,13047.19
2022/8/11 00:00,12779.91
2022/8/10 00:00,12854.8
2022/8/9 00:00,12493.93
2022/8/8 00:00,12644.46
2022/8/5 00:00,12657.55
2022/8/4 00:00,12720.58
2022/8/3 00:00,12668.16
2022/8/2 00:00,12348.76
2022/8/1 00:00,12368.98
2022/7/29 00:00,12390.69
2022/7/28 00:00,12162.59
2022/7/27 00:00,12032.42
2022/7/26 00:00,11562.58
2022/7/25 00:00,11782.67
2022/7/22 00:00,11834.11
2022/7/21 00:00,12059.61
2022/7/20 00:00,11897.65
2022/7/19 00:00,11713.15
2022/7/18 00:00,11360.05
2022/7/15 00:00,11452.42
2022/7/14 00:00,11251.18
2022/7/13 00:00,11247.58
2022/7/12 00:00,11264.73
2022/7/11 00:00,11372.6
2022/7/8 00:00,11635.31
2022/7/7 00:00,11621.35
2022/7/6 00:00,11361.85
2022/7/5 00:00,11322.24
2022/7/1 00:00,11127.84
2022/6/30 00:00,11028.74
2022/6/29 00:00,11177.89
2022/6/28 00:00,11181.54
2022/6/27 00:00,11524.55
2022/6/24 00:00,11607.62
2022/6/23 00:00,11232.19
2022/6/22 00:00,11053.08
2022/6/21 00:00,11069.3
2022/6/17 00:00,10798.35
2022/6/16 00:00,10646.1
2022/6/15 00:00,11099.16
2022/6/14 00:00,10828.34
2022/6/13 00:00,10809.22
2022/6/10 00:00,11340.02
2022/6/9 00:00,11754.23
2022/6/8 00:00,12086.27
2022/6/7 00:00,12175.23
2022/6/6 00:00,12061.37
2022/6/3 00:00,12012.73
2022/6/2 00:00,12316.9
2022/6/1 00:00,11994.46
2022/5/31 00:00,12081.39
2022/5/27 00:00,12131.13
2022/5/26 00:00,11740.65
2022/5/25 00:00,11434.74
