Date,Price,Open,High,Low,Vol.,Change %
2022/8/24 00:00,1213,1213,1213,1213,,-0.0456
2022/8/23 00:00,1271,1271,1271,1271,,0.0008
2022/8/22 00:00,1270,1270,1270,1270,,-0.007
2022/8/19 00:00,1279,1279,1279,1279,,-0.0311
2022/8/18 00:00,1320,1320,1320,1320,,-0.0531
2022/8/17 00:00,1394,1394,1394,1394,,0.005
2022/8/16 00:00,1387,1387,1387,1387,,-0.0121
2022/8/15 00:00,1404,1404,1404,1404,,-0.0494
2022/8/12 00:00,1477,1477,1477,1477,,-0.0508
2022/8/11 00:00,1556,1556,1556,1556,,-0.0226
2022/8/10 00:00,1592,1592,1592,1592,,0.0179
2022/8/9 00:00,1564,1564,1564,1564,,-0.0013
2022/8/8 00:00,1566,1566,1566,1566,,0.0038
2022/8/5 00:00,1560,1560,1560,1560,,-0.0268
2022/8/4 00:00,1603,1603,1603,1603,,-0.0739
2022/8/3 00:00,1731,1731,1731,1731,,-0.0473
2022/8/2 00:00,1817,1817,1817,1817,,-0.0294
2022/8/1 00:00,1872,1872,1872,1872,,-0.0121
2022/7/29 00:00,1895,1895,1895,1895,,-0.0257
2022/7/28 00:00,1945,1945,1945,1945,,-0.0309
2022/7/27 00:00,2007,2007,2007,2007,,-0.0262
2022/7/26 00:00,2061,2061,2061,2061,,-0.0251
2022/7/25 00:00,2114,2114,2114,2114,,-0.0149
2022/7/22 00:00,2146,2146,2146,2146,,0.0132
2022/7/21 00:00,2118,2118,2118,2118,,0.0024
2022/7/20 00:00,2113,2113,2113,2113,,-0.0149
2022/7/19 00:00,2145,2145,2145,2145,,-0.0079
2022/7/18 00:00,2162,2162,2162,2162,,0.0056
2022/7/15 00:00,2150,2150,2150,2150,,0.0697
2022/7/14 00:00,2010,2010,2010,2010,,0.004
2022/7/13 00:00,2002,2002,2002,2002,,-0.0055
2022/7/12 00:00,2013,2013,2013,2013,,-0.0327
2022/7/11 00:00,2081,2081,2081,2081,,0.0068
2022/7/8 00:00,2067,2067,2067,2067,,-0.0029
2022/7/7 00:00,2073,2073,2073,2073,,0.0147
2022/7/6 00:00,2043,2043,2043,2043,,-0.0262
2022/7/5 00:00,2098,2098,2098,2098,,-0.0283
2022/7/4 00:00,2159,2159,2159,2159,,-0.0248
2022/7/1 00:00,2214,2214,2214,2214,,-0.0116
2022/6/30 00:00,2240,2240,2240,2240,,0.0247
2022/6/29 00:00,2186,2186,2186,2186,,-0.0082
2022/6/28 00:00,2204,2204,2204,2204,,-0.0397
2022/6/27 00:00,2295,2295,2295,2295,,-0.0154
2022/6/24 00:00,2331,2331,2331,2331,,-0.0098
2022/6/23 00:00,2354,2354,2354,2354,,0.0021
2022/6/22 00:00,2349,2349,2349,2349,,-0.0543
2022/6/21 00:00,2484,2484,2484,2484,,-0.0431
2022/6/20 00:00,2596,2596,2596,2596,,0.007
2022/6/17 00:00,2578,2578,2578,2578,,0.0471
